Writable.write() 与 highWaterMark 的关系,当buffer 未达到 highWaterMark的限制时，write() 返回 true***达到限制时，返回 false,AB,41
stream 的设计目的是，为了限制数据的缓存数量，防止占用过多内存,正确,A,42
stream.Writable close 事件，当流或者底层数据源被关闭时，发出 close 事件，之后不会有其它事件或计算发生了,正确,A,43
stream.Writable drain  事件，当可以继续写入数据时，触发,正确,A,44
stream.Writable error 事件，error 发出时，不会关闭 stream，但之后除了 close 事件，其它事件都不会发出了,正确,A,45
stream.Writable finish  事件，stream.end() 方法调用后，触发 finish 事件，所有的数据都会刷新,正确,A,46
stream.Writable pipe 事件，stream.pipe() 方法调用时，触发 pipe 事件，传递参数 src 也就是 readable 流,正确,A,47
writable.cork() 强迫所有的写入数据都缓存在内存。避免大量小数据存入 buffer 时，产生性能影响。,正确,A,48
writable.uncork() 刷新所有调用 cork() 之后的数据，uncork 与 cork 需要调用相同的次数,正确,A,49
writable.destroy() 立刻摧毁一个 stream，之后对 writable 的 write() end() 调用都会报错。,正确,A,50
writable.destroyed  调用 destroy() 后，is true,正确,A,51
"writable.end([chunk[, encoding]][, callback]) 表明没有更多的数据被写入到 Writable",正确,A,52
writable.setDefaultEncoding(encoding) 配置默认的编码方式,正确,A,53
writable.writable 当可以调用write() 时，为 true,正确,A,54
writable.writableEnded 当 end() 调用后，为 true,正确,A,55
writable.writableCorked  返回需要调用 writable.uncork() 的次数,正确,A,56
writable.writableFinished 当 finish 事件触发时，设置为 true,正确,A,57
writable.writableHighWaterMark 构建 Writable 时，highWaterMark 的值,正确,A,58
wirtable.writableLength 返回队列中准备写入的数据 byte 数,正确,A,59
writable.writableObjectMode 查看 stream 是不是 objectMode stream,正确,A,60
"writable.write(chunk[, encoding][, callback]) 当 write() 返回 false 时，会暂停继续写入数据，直到 drain 事件触发",正确,A,61
在终止系统写，不停写入不读取数据的可写流，会导致内存的高占用和垃圾回收性能下降,正确,A,62
object mode 的 stream 会无视掉 encoding 参数,正确,A,63
Transform流是什么 转换流,特殊的 Duplex 流，继承自 Duplex，其内部能够变更正在传输的数据,A,64
